movie_id,片名,年份,所看版本,方言名称,少数民族语言,步骤1_有方言吗,步骤2_方言重要吗,步骤3_方言有作用吗,主导对白语言,结论,Tier初判,证据
1986783,芒种,2006,,,,,,,,非方言,,用户人工复核（2026-08-15）：朝鲜语题材片，不算方言片，移出 Tier 2b 白名单
10478122,平壤之约,2012,,,,,,,,非方言,,用户人工复核（2026-08-15）确认维持排除（中朝合拍，普通话主导）
1306421,惊变28周,2002,,,,,,,,非方言,,用户人工复核（2026-08-15）确认维持排除（外语片，朝鲜手语）
4133310,惊梦魂,1995,,粤语,,,,,粤语,方言,Tier 2a,用户人工复核（2026-08-16）：粤语为主要对白语言
2129914,八廓南街16号,1997,,藏语,藏语,,,,,方言,,用户人工复核（2026-08-16）：藏语承担核心叙事功能
10518931,猎人与骷髅怪,2012,,藏语,藏语,,,,,方言,,用户人工复核（2026-08-16）：全程藏语（甘孜方言），少数民族语言片
34953763,巴依尔的春节,2020,,,,,,,,非方言,,用户人工复核（2026-08-16）：撤销方言判定，搜狗百科标注对白语言=普通话
1308060,龙的深处―失落的拼图,2003,,粤语/安徽方言/国语,,,,,,方言,,用户人工复核（2026-08-16）：纪录片多语言交织，国语旁白为框架但粤语和安徽方言占比显著
19899635,穷人·榴莲·麻药·偷渡客,2013,,云南方言/普通话/缅语,,,,,,方言,,用户人工复核（2026-08-16）：云南方言属西南官话，缅语为外语不影响方言定性
30441138,监狱建筑师,2018,,粤语,,,,,,方言,,用户人工复核（2026-08-16）：香港取景，粤语对白承担叙事
34436895,出花园,2019,,潮汕方言,,,,,潮汕方言（普通话并存）,方言,Tier 2b,用户人工复核（2026-08-16）：潮汕方言电影
34847185,阿紫,2020,,闽南语/普通话,,,,,,方言,,用户人工复核（2026-08-16）：台语=闽南语属闽语分支；国台语混合
