movie_id,片名,年份,语言字段原文,Tier初判_自动,抽样来源,外语排首,所看版本,方言名称,少数民族语言,步骤1_有方言吗,步骤2_方言重要吗,步骤3_方言有作用吗,主导对白语言,结论,Tier初判,证据
1300173,省港一号通缉犯,1994,粤语,Tier 1,分层抽样,否,,,,,,,,,,
4189695,撕票风云,2010,粤语,Tier 1,分层抽样,否,,,,,,,,,,
1298873,刀马旦,1986,粤语,Tier 1,分层抽样,否,,,,,,,,,,
2051166,医神,1999,粤语,Tier 1,分层抽样,否,,,,,,,,,,
1433602,赌圣2：街头赌圣,1995,粤语,Tier 1,分层抽样,否,,,,,,,,,,
1295036,等着你回来,1994,粤语,Tier 1,分层抽样,否,,,,,,,,,,
1306733,新精武门1991,1991,粤语,Tier 1,分层抽样,否,,,,,,,,,,
6846461,不设房,2011,粤语,Tier 1,分层抽样,否,,,,,,,,,,
1299497,波牛,1983,粤语,Tier 1,分层抽样,否,,,,,,,,,,
1482961,月亮星星太阳,1988,粤语,Tier 1,分层抽样,否,,,,,,,,,,
4933213,车魂,1983,粤语 / 英语,Tier 1,分层抽样,否,,,,,,,,,,
1300287,男歌女唱,2001,粤语,Tier 1,分层抽样,否,,,,,,,,,,
34432335,路过星宿,2019,粤语,Tier 1,分层抽样,否,,,,,,,,,,
1297148,超时空要爱,1998,粤语,Tier 1,分层抽样,否,,,,,,,,,,
5384541,皇家飛鳳,1989,粤语,Tier 1,分层抽样,否,,,,,,,,,,
1358468,六壮士,2004,粤语,Tier 1,分层抽样,否,,,,,,,,,,
2711373,我要逃亡,1988,粤语,Tier 1,分层抽样,否,,,,,,,,,,
1303717,夏日福星,1985,粤语,Tier 1,分层抽样,否,,,,,,,,,,
1299282,精装追女仔,1987,粤语,Tier 1,分层抽样,否,,,,,,,,,,
1307871,警察扒手两家亲,1990,粤语,Tier 1,分层抽样,否,,,,,,,,,,
3066821,午夜丽人,1986,粤语,Tier 1,分层抽样,否,,,,,,,,,,
1301997,鬼马双星,1974,粤语,Tier 1,分层抽样,否,,,,,,,,,,
2979538,横行霸盗,2002,粤语,Tier 1,分层抽样,否,,,,,,,,,,
1304075,黑道福星,1989,粤语,Tier 1,分层抽样,否,,,,,,,,,,
1297361,兄弟,1986,粤语,Tier 1,分层抽样,否,,,,,,,,,,
26755037,拍得不错,2016,粤语,Tier 1,分层抽样,否,,,,,,,,,,
1301974,安娜玛德莲娜,1998,粤语,Tier 1,分层抽样,否,,,,,,,,,,
22734960,微交少女,2014,粤语,Tier 1,分层抽样,否,,,,,,,,,,
1305564,八星报喜,1988,粤语,Tier 1,分层抽样,否,,,,,,,,,,
10455631,塞外有家,2010,大同方言,Tier 1,分层抽样,否,,,,,,,,,,
1305327,青梅竹马,1985,闽南语 / 汉语普通话,Tier 2a,分层抽样,否,,,,,,,,,,
1297574,英雄本色,2017,粤语 / 汉语普通话 / 英语,Tier 2a,分层抽样,否,,,,,,,,,,
3862627,扑克王,2009,粤语 / 汉语普通话,Tier 2a,分层抽样,否,,,,,,,,,,
3772582,黄金恶梦,1999,粤语 / 汉语普通话,Tier 2a,分层抽样,否,,,,,,,,,,
1295106,鼠胆龙威,1995,粤语 / 汉语普通话 / 英语,Tier 2a,分层抽样,否,,,,,,,,,,
1440099,挚爱,2005,粤语 / 汉语普通话,Tier 2a,分层抽样,否,,,,,,,,,,
1304837,爆裂刑警,1999,粤语 / 普通话,Tier 2a,分层抽样,否,,,,,,,,,,
10831905,那是说着玩的,2012,河南方言 / 汉语普通话,Tier 2a,分层抽样,否,,,,,,,,,,
1296530,紫雨风暴,1999,粤语 / 高棉语 / 汉语普通话,Tier 2a,分层抽样,否,,,,,,,,,,
1401873,三更2,2004,粤语 / 日语 / 韩语 / 汉语普通话,Tier 2a,分层抽样,否,,,,,,,,,,
1298252,胜者为王,2000,粤语 / 汉语普通话 / 英语,Tier 2a,分层抽样,否,,,,,,,,,,
2346881,破事儿,2007,粤语 / 普通话,Tier 2a,分层抽样,否,,,,,,,,,,
2339415,猛鬼咒,1988,粤语 / 汉语普通话,Tier 2a,分层抽样,否,,,,,,,,,,
1295485,方世玉续集,1993,粤语 / 汉语普通话,Tier 2a,分层抽样,否,,,,,,,,,,
1870004,停不了的爱,2002,粤语 / 汉语普通话,Tier 2a,分层抽样,否,,,,,,,,,,
6011805,一九四二,2012,河南方言 / 英语 / 日语 / 汉语普通话,Tier 2a,分层抽样,否,,,,,,,,,,
1394626,寻找周杰伦,2003,粤语 / 汉语普通话,Tier 2a,分层抽样,否,,,,,,,,,,
1294561,太极张三丰,1993,粤语 / 汉语普通话,Tier 2a,分层抽样,否,,,,,,,,,,
3813814,明媚时光,2009,粤语 / 汉语普通话,Tier 2a,分层抽样,否,,,,,,,,,,
30468862,张国荣拉阔音乐会,2000,粤语 / 汉语普通话 / 英语,Tier 2a,分层抽样,否,,,,,,,,,,
4718232,无蝉的夏天,2010,汉语普通话 / 四川话,Tier 2b,分层抽样,否,,,,,,,,,,
5244092,翻滚吧！阿信,2011,汉语普通话 / 闽南语 Hokkien,Tier 2b,分层抽样,否,,,,,,,,,,
1301968,变脸迷情,2002,汉语普通话 / 粤语,Tier 2b,分层抽样,否,,,,,,,,,,
35191327,秘密基地,2020,汉语普通话 / 潮汕话,Tier 2b,分层抽样,否,,,,,,,,,,
11501396,边境风云,2012,汉语普通话 / 四川话 / 缅甸语,Tier 2b,分层抽样,否,,,,,,,,,,
6778650,嫁个100分男人,2012,汉语普通话 / 粤语,Tier 2b,分层抽样,否,,,,,,,,,,
10344754,毒战,2013,汉语普通话 / 粤语,Tier 2b,分层抽样,否,,,,,,,,,,
11226123,生活而已2,2012,汉语普通话 / 山东话,Tier 2b,分层抽样,否,,,,,,,,,,
23126901,特殊身份,2013,汉语普通话 / 粤语,Tier 2b,分层抽样,否,,,,,,,,,,
1307694,无间道3：终极无间,2003,汉语普通话 / 粤语,Tier 2b,分层抽样,否,,,,,,,,,,
26325651,逃学英雄,2015,汉语普通话 / 粤语,Tier 2b,分层抽样,否,,,,,,,,,,
10763164,扫毒,2013,汉语普通话 / 粤语 / 泰语 / 英语,Tier 2b,分层抽样,否,,,,,,,,,,
4237879,人在囧途,2010,汉语普通话 / 武汉话,Tier 2b,分层抽样,否,,,,,,,,,,
1292434,一一,2017,汉语普通话 / 闽南语 / 英语 / 日语,Tier 2b,分层抽样,否,,,,,,,,,,
25717233,心花路放,2014,汉语普通话 / 粤语 / 云南方言,Tier 2b,分层抽样,否,,,,,,,,,,
5322605,消失的村庄,2011,汉语普通话 / 云南方言,Tier 2b,分层抽样,否,,,,,,,,,,
3224840,芳草碧连天,1987,汉语普通话 / 闽南语,Tier 2b,分层抽样,否,,,,,,,,,,
30140092,小美,2018,汉语普通话 / 粤语,Tier 2b,分层抽样,否,,,,,,,,,,
6110557,乌鲁木齐的天空,2011,汉语普通话 / 维语,Tier 2b,分层抽样,否,,,,,,,,,,
1418919,饺子,2004,汉语普通话 / 粤语,Tier 2b,分层抽样,否,,,,,,,,,,
30255216,您一定不要错过,2018,汉语普通话 / 蒙语 / 日语 / 俄语,Tier 2b,分层抽样,否,,,,,,,,,,
3754946,锦衣卫,2010,汉语普通话 / 粤语,Tier 2b,分层抽样,否,,,,,,,,,,
20280082,人间蒸发,2013,汉语普通话 / 粤语 / 日语,Tier 2b,分层抽样,否,,,,,,,,,,
25956520,太平轮(下)·彼岸,2015,汉语普通话 / 日语 / 闽南语 / 上海话,Tier 2b,分层抽样,否,,,,,,,,,,
30272786,一条叫招财的鱼,2018,汉语普通话 / 重庆方言 / 陕西方言,Tier 2b,分层抽样,否,,,,,,,,,,
25713336,盗马记,2014,汉语普通话 / 粤语,Tier 2b,分层抽样,否,,,,,,,,,,
35000216,武汉战疫纪,2020,汉语普通话 / 英语 / 武汉话,Tier 2b,分层抽样,否,,,,,,,,,,
3193464,爱的面包魂,2007,普通话/国语 / 閩南語,Tier 2b,分层抽样,否,,,,,,,,,,
26289140,灿烂这一刻,2017,汉语普通话 / 粤语,Tier 2b,分层抽样,否,,,,,,,,,,
6221409,河东狮吼2,2012,汉语普通话 / 粤语,Tier 2b,分层抽样,否,,,,,,,,,,
26331811,新西兰打工旅行2013-2014,2015,汉语普通话 / 粤语 / 英语,Tier 2b,分层抽样,否,,,,,,,,,,
3804891,无人区,2013,汉语普通话 / 陕西方言 / 甘肃方言,Tier 2b,分层抽样,否,,,,,,,,,,
4173583,唐伯虎点秋香2之四大才子,2010,汉语普通话 / 粤语,Tier 2b,分层抽样,否,,,,,,,,,,
4824982,杨门女将之军令如山,2011,汉语普通话 / 粤语,Tier 2b,分层抽样,否,,,,,,,,,,
24891524,5月天诺亚方舟,2013,汉语普通话 / 英语 / 闽南语,Tier 2b,分层抽样,否,,,,,,,,,,
6062731,亲密敌人,2011,汉语普通话 / 英语 / 粤语,Tier 2b,分层抽样,否,,,,,,,,,,
1306870,猛龙过江,1972,汉语普通话 / 粤语 / 英语 / 意大利语,Tier 2b,分层抽样,否,,,,,,,,,,
26796664,叶问外传：张天志,2018,汉语普通话 / 粤语 / 英语,Tier 2b,分层抽样,否,,,,,,,,,,
24867840,甘南情歌,2014,汉语普通话 / 藏语,Tier 2b,分层抽样,否,,,,,,,,,,
22300822,百变爱人,2014,汉语普通话 / 粤语,Tier 2b,分层抽样,否,,,,,,,,,,
2990254,天使死神,2003,汉语普通话 / 粤语,Tier 2b,分层抽样,否,,,,,,,,,,
26801581,动植物大战,2016,汉语普通话 / 粤语,Tier 2b,分层抽样,否,,,,,,,,,,
10763157,逃出生天,2013,汉语普通话 / 粤语,Tier 2b,分层抽样,否,,,,,,,,,,
26935296,花椒之味,2019,汉语普通话 / 粤语,Tier 2b,分层抽样,否,,,,,,,,,,
3304014,追影,2009,汉语普通话 / 粤语,Tier 2b,分层抽样,否,,,,,,,,,,
1459399,鲁迅,2005,普通话 / 上海话 / 日语 / 英语,Tier 2b,分层抽样,否,,,,,,,,,,
6984061,笑功震武林,2013,汉语普通话 / 粤语,Tier 2b,分层抽样,否,,,,,,,,,,
25757187,我不是王毛,2016,汉语普通话 / 河南话,Tier 2b,分层抽样,否,,,,,,,,,,
35193163,夏风沉醉的晚上,2020,汉语普通话 / 杭州话,Tier 2b,分层抽样,否,,,,,,,,,,
25849506,热带,2014,汉语普通话 / 粤语,Tier 2b,分层抽样,否,,,,,,,,,,
1462467,卖身契,1978,英语 / 粤语,方案A排除,方案A排除边界全查,是,,,,,,,,,,
1308456,死亡游戏,1978,英语 / 汉语普通话 / 粤语,方案A排除,方案A排除边界全查,是,,,,,,,,,,
1295964,龙之忍者,1982,英语 / 粤语,方案A排除,方案A排除边界全查,是,,,,,,,,,,
1298235,两只老虎,1985,英语 / 粤语,方案A排除,方案A排除边界全查,是,,,,,,,,,,
1304199,威龙猛探,1985,英语 / 粤语,方案A排除,方案A排除边界全查,是,,,,,,,,,,
1305595,中华英雄,1986,英语 / 粤语,方案A排除,方案A排除边界全查,是,,,,,,,,,,
2567692,太阳之子,1990,英语 / 粤语,方案A排除,方案A排除边界全查,是,,,,,,,,,,
1308304,客途秋恨,1990,英语 / 汉语普通话 / 粤语 / 日语,方案A排除,方案A排除边界全查,是,,,,,,,,,,
1304618,老虎出更2,1990,英语 / 粤语,方案A排除,方案A排除边界全查,是,,,,,,,,,,
1299373,阿修罗,1990,日语 / 粤语,方案A排除,方案A排除边界全查,是,,,,,,,,,,
1296556,上海1920,1991,英语 / 汉语普通话 / 粤语,方案A排除,方案A排除边界全查,是,,,,,,,,,,
1295285,多桑,1994,日语 / 闽南语 / 汉语普通话,方案A排除,方案A排除边界全查,是,,,,,,,,,,
1292895,精武英雄,1994,英语 / 粤语 / 日语 / 汉语普通话,方案A排除,方案A排除边界全查,是,,,,,,,,,,
1300540,旺角的天空,1995,英语 / 粤语,方案A排除,方案A排除边界全查,是,,,,,,,,,,
2132732,虎猛威龙,1995,英语 / 粤语,方案A排除,方案A排除边界全查,是,,,,,,,,,,
1296947,警察故事4：简单任务,1996,英语 / 粤语 / 汉语普通话 / 俄语 / 乌克兰语,方案A排除,方案A排除边界全查,是,,,,,,,,,,
1295547,一个好人,1997,英语 / 汉语普通话 / 粤语,方案A排除,方案A排除边界全查,是,,,,,,,,,,
1300303,我是谁,1998,英语 / 粤语 / 荷兰语,方案A排除,方案A排除边界全查,是,,,,,,,,,,
1303590,玻璃之城,1998,英语 / 汉语普通话 / 粤语,方案A排除,方案A排除边界全查,是,,,,,,,,,,
1400123,顾城别恋,1998,英语 / 汉语普通话 / 德语 / 粤语,方案A排除,方案A排除边界全查,是,,,,,,,,,,
1434049,化骨龙与千年虫,1999,英语 / 粤语,方案A排除,方案A排除边界全查,是,,,,,,,,,,
1307875,公元2000 AD,2000,英语 / 粤语 / 汉语普通话,方案A排除,方案A排除边界全查,是,,,,,,,,,,
1307488,三更,2002,韩语 / 英语 / 汉语普通话 / 泰语 / 粤语,方案A排除,方案A排除边界全查,是,,,,,,,,,,
1307762,赤裸特工,2002,英语 / 粤语,方案A排除,方案A排除边界全查,是,,,,,,,,,,
1308482,双雄,2003,英语 / 汉语普通话 / 粤语,方案A排除,方案A排除边界全查,是,,,,,,,,,,
1900006,电影香江：刀光剑影,2003,英语 / 粤语,方案A排除,方案A排除边界全查,是,,,,,,,,,,
1308855,大事件,2004,英语 / 汉语普通话 / 粤语,方案A排除,方案A排除边界全查,是,,,,,,,,,,
1306160,新警察故事,2004,英语 / 汉语普通话 / 粤语,方案A排除,方案A排除边界全查,是,,,,,,,,,,
1307186,飞鹰,2004,英语 / 粤语,方案A排除,方案A排除边界全查,是,,,,,,,,,,
2006172,太行山上,2005,英语 / 德语 / 粤语 / 汉语普通话 / 日语 / 俄语,方案A排除,方案A排除边界全查,是,,,,,,,,,,
2000675,无米乐,2005,日语 / 汉语普通话 / 闽南语,方案A排除,方案A排除边界全查,是,,,,,,,,,,
1307023,神话,2005,英语 / 汉语普通话 / 粤语 / 韩语,方案A排除,方案A排除边界全查,是,,,,,,,,,,
1455769,龙刀奇缘,2005,英语 / 汉语普通话 / 粤语,方案A排除,方案A排除边界全查,是,,,,,,,,,,
1853160,狗咬狗,2006,英语 / 汉语普通话 / 粤语 / 泰语,方案A排除,方案A排除边界全查,是,,,,,,,,,,
1875312,终极忍者,2006,日语 / 粤语,方案A排除,方案A排除边界全查,是,,,,,,,,,,
1780168,诡丝,2006,英语 / 日语 / 汉语普通话 / 闽南语,方案A排除,方案A排除边界全查,是,,,,,,,,,,
1961963,长江七号,2008,英语 / 汉语普通话 / 粤语,方案A排除,方案A排除边界全查,是,,,,,,,,,,
3439354,无声风铃,2009,英语 / 粤语 / 汉语普通话 / 瑞士德语,方案A排除,方案A排除边界全查,是,,,,,,,,,,
3394878,音乐人生,2009,英语 / 粤语,方案A排除,方案A排除边界全查,是,,,,,,,,,,
10450409,赛德克·巴莱(上)：太阳旗,2011,日语 / 闽南语 / 赛德克语,方案A排除,方案A排除边界全查,是,,,,,,,,,,
6393127,赛德克·巴莱(下)：彩虹桥,2011,日语 / 闽南语 / 赛德克语,方案A排除,方案A排除边界全查,是,,,,,,,,,,
4212172,十二生肖,2012,英语 / 汉语普通话 / 粤语 / 法语 / 西班牙语,方案A排除,方案A排除边界全查,是,,,,,,,,,,
5977835,桃姐,2012,英语 / 汉语普通话 / 粤语,方案A排除,方案A排除边界全查,是,,,,,,,,,,
21359627,金门银光梦,2013,英语 / 粤语,方案A排除,方案A排除边界全查,是,,,,,,,,,,
25890005,山河故人,2015,英语 / 山西话 / 汉语普通话 / 上海话,方案A排除,方案A排除边界全查,是,,,,,,,,,,
25917896,沙西米,2015,日语 / 闽南语 Hokkien,方案A排除,方案A排除边界全查,是,,,,,,,,,,
25766672,满月酒,2015,英语 / 汉语普通话 / 闽南语,方案A排除,方案A排除边界全查,是,,,,,,,,,,
26325366,美好2015,2015,英语 / 汉语普通话 / 粤语,方案A排除,方案A排除边界全查,是,,,,,,,,,,
26431412,终极胜利,2016,英语 / 汉语普通话 / 日语 / 天津话,方案A排除,方案A排除边界全查,是,,,,,,,,,,
26787079,阿尼,2016,菲律宾语 / 他加禄语 / 汉语普通话 / 闽南语 / 英语,方案A排除,方案A排除边界全查,是,,,,,,,,,,
26679188,天梯：蔡国强的艺术,2017,英语 / 汉语普通话 / 闽南语 / 日语,方案A排除,方案A排除边界全查,是,,,,,,,,,,
26804147,摩天营救,2018,英语 / 粤语 / 汉语普通话,方案A排除,方案A排除边界全查,是,,,,,,,,,,
34793126,大厨,2019,英语 / 汉语普通话 / 粤语,方案A排除,方案A排除边界全查,是,,,,,,,,,,
30443773,我们一家人,2019,英语 / 汉语普通话 / 四川话,方案A排除,方案A排除边界全查,是,,,,,,,,,,
