movie_id,片名,原语言,补全语言,Is_Dialect,Tier,变更
4133310,惊梦魂,粤语,粤语/普通话,1,Tier 2a,方言(已有)；Tier修正(Tier1→Tier 2a)
2129914,八廓南街16号,藏语,藏语,1,Tier 1,方言(已有)
1308060,龙的深处―失落的拼图,,粤语/安徽方言/国语,1,Tier 2a,方言(新增)
10518931,猎人与骷髅怪,藏语,藏语,1,Tier 1,方言(已有)
19899635,穷人·榴莲·麻药·偷渡客,,云南方言/普通话/缅语,1,Tier 2a,方言(新增)
30441138,监狱建筑师,,粤语,1,Tier 1,方言(新增)
34436895,出花园,,普通话/潮汕方言,1,Tier 2b,方言(新增)；Tier修正(Tier1→Tier 2b)
34847185,阿紫,,闽南语/普通话,1,Tier 2a,方言(新增)
34953763,巴依尔的春节,山西方言,普通话,0,,撤销方言
33425521,张学友1/2世纪世界巡回演唱会,,普通话,0,,非方言(修正:演唱会，简化避免误判方言)
35376928,张敬轩x香港中乐团《盛乐》演唱会,,普通话,0,,非方言(修正:演唱会，简化避免误判方言)
30253124,腐草为萤,,汉语普通话,0,,非方言(修正:无语言信息，默认汉语普通话)
30396250,公交车,,汉语普通话,0,,非方言(修正:无语言信息，默认汉语普通话)
