片名,年份,语言,第一语言,筛选原因,导演,类型,制片国家/地区,豆瓣评分,评价人数,剧情简介,Gemini评价,Region,Language_Category,Decade,Is_Dialect,来源URL
四万万人民,1939,英语 / 汉语普通话,英语,外语为第一语言,尤里斯·伊文思,纪录片 / 历史 / 战争,美国 / 中国大陆,8.3,2562,简介：在世界电影史上，尤里斯·伊文思被称为纪录电影的先驱，与美国的罗伯特·弗拉哈迪、英国的约翰·格里尔逊和苏联的吉加·维尔托夫并称为四大纪录电影之父，与其他三位不同的是，伊文思的创作生涯最长，在长达60余年的创作生涯中拍摄了60余部影片，一部寻找失落青春的诗意纪录《塞纳河》曾使他获得1957年的戛纳金棕榈大奖。中国的抗战不仅掀起了中国电影人的创作热情，也吸引了国外电影大师的镜头。上世纪30年代末，多位国外记录片导演来华摄制影片，他们中最杰出的代表就是尤里斯·伊文思。伊文思1938年在中国拍摄的《四万万人民》不仅是他电影生涯的代表作，也是他与中国维持50年的情谊的开端。从抗战开始，在不同的年代，他用自己的镜头纪录下了不同的中国。外国人来华拍纪录片的历史，最早大约可以追溯到电影诞生的那几年。1896年，卢米艾尔兄弟派出了数百名摄影师奔赴世界各地拍片，其中一些摄影师就曾来华拍片。此后，美国人、意大利人、苏联人、瑞典人都曾经把镜头对准过中国，但多是风光片及风土人情、文物考古、民居民俗的纪录，直到战争的悄然到来。1935年，在燕京大学任教的美国记者埃德加·斯诺用一台十六毫米手摇摄影机拍下了“一二·九”学生运动的场面，今天已成为珍贵的历史资料。1938年，尤里斯·伊文思来了，这个“飞翔的荷兰人”飞到了中国，与他同行的还有我最崇拜的战地摄影师罗伯特·卡帕。在1936年，两个勇敢的人在西班牙内战爆发之际，把摄影机和照相机的镜头对准了这片燃烧的土地，伊文思拍摄了广受赞誉的纪录片《西班牙土地》，而卡帕也因拍摄《共和军之死》的照片一举成名。 “纪录”拥有了出生入死的刚毅血性。从此，“什么地方燃烧，就去什么地方拍摄”被奉为摄影师的职责。西班牙内战是西方前线，而中国战场则被称为是反法西斯斗争的东方前线，从西方前线远涉到东方前线，伊文思和卡帕在中国拍摄的珍贵图像仿佛西班牙影像的回音。1938年4月初，在抵达中国不久，二人便拍摄了“台儿庄战役”，那是值得庆贺的第一场正面击溃日军的胜利，伊文思和卡帕要求上前线拍摄，最终未能拍到决战的场面，因为他们是外国人，没人敢为他们的生命承担风险，但他们还是抓住机会在台儿庄附近的小树林中拍摄了这场战斗。伊文思回忆说：“我不是一个作家，我通过画面能够更好地表达自己，我一定要表达死亡对我意味着什么，不仅仅是拍几个尸体，而是拍摄整个一段，死亡牵连到的往往是许多人。我触到了中国，中国也触到了我，我拍了战争，拍了一个在战争中瓦解，又在战火中形成的国家，我看到了勇敢！”纪录这场战争的《四万万人民》成为了关于中国抗日战争的真实写照，并且起到了声援中国人民的抗日战争的积极作用，这些影像成为后来中国抗战影片的重要素材。而卡帕生平最有力度的照片，就是他拍摄的遭日军空袭后的劫难场面。正如卡帕那句永远的名言：“如果你照片拍得不够好，因为你离得不够近”。1954年，卡帕在越南战场触雷身亡，如一个不参与杀戮的斗牛士般身着光彩耀目的斗牛士装束轰然倒下，而伊文思继续潜行在战火中。伊文思的冒险不是赌徒的博彩，也不是亡命徒般的轻生，而是为激情所贯注，为信仰所战斗的勇气。在中国抗日战场上，在越南抗美的丛林中，在古巴剿匪的追击中，甚至在70岁高龄，依然在战火中拍摄。这个“飞翔的荷兰人”被祖国放逐，却四次来中国，他称中国是收养他的“第二故乡”，他爱这里的人民。红色电影的开端——延安电影团伊文思在临走之前，秘密地把一台埃摩摄影机交给了一位左翼影人吴印咸，这位吴印咸后来被称为共和国摄影艺术的拓荒者。1938年秋，吴印咸和袁牧之两人带着这台摄影机和从香港购得的全套电影器材到达延安，在八路军总政治部下成立了“延安电影团”。最初电影团只有6个人，有电影工作经验的仅有3个。1938年10月1日，电影团开拍了自己的第一部作品，记录片《延安与八路军》。1940年袁牧之将完成的影片底片带到苏联，没想到正好苏德战争爆发，没能在苏联印出拷贝送回国内放映。进入40年代后，电影团拍摄了多部新闻短片，在根据地露天放映。,纪录片大师伊文思以坚定的反法西斯视角与写实的战争镜头，展现了中国人民抗日战争的坚韧与力量。,North_America,Chinese,Pre-1990s,1,https://movie.douban.com/subject/1429068/
春江遗恨,1944,汉语普通话 / 日语 / 英语,汉语普通话,外语为主(外语2/中文1),稻垣浩 / 岳枫 / 胡心灵,剧情 / 历史 / 战争,日本 / 中国,6.6,126,清朝同治元年（1862年），日本武士高杉晋作（坂东妻三郎饰）搭乘幕府首航的交易船，来华了解大清国现状。船抵上海，高杉与同伴在旅馆主人的侄女玉瑛（李丽华饰）的陪同下，看到了被英国统治的租界，吴淞要塞炮台，以及成千上万吸食鸦片的民众，看清了英美帝国主义的居心。这时，忠王李秀成（严俊饰）率领太平军进逼上海，派遣部将沈翼周（梅熹饰）秘密潜入城内，与英国领事接洽太平军进城事宜。英国领事表示同意太平军入城。一次偶然机会，高杉晋作帮助沈翼周躲过清兵的追逐，二人由此相识并推心置腹交谈，然而在关于英美是否东亚人的朋友这一问题上，二人发生分歧并引起争论。高杉列举事实论证英美对中国有掠夺野心，沈翼周则认为这都是清廷的过错，眼前英国领事答应太平军入城是一种值得信任的友好态度。太平军进城后，李秀成首先下令禁烟。不久，英国领事即背信弃义答应清廷的求援，大举进攻太平军。沈翼周的老父被英军枪杀，妹妹桃花（王丹凤饰）险遭英军蹂躏。桃花的未婚夫周文祥（吕玉堃饰）愤而加入太平军。与此同时，日本国内爆发了反英美的攘夷运动。高杉晋作归国前，特地赶到战场，与沈翼周话别。,,East_Asia,Chinese,Pre-1990s,1,https://movie.douban.com/subject/1547171/
座头市与独臂刀,1971,日语 / 汉语普通话,日语,外语为第一语言,安田公义,剧情 / 动作 / 冒险,日本 / 中国香港,6.0,529,影片讲述独臂刀王刚赴日访友，路遇中国遗孤，并与座头市结识，两人之间因言语不通闹出许多笑话，最后更因误会难解，不得不性命相搏。瞎子座头市以闪电般的拔刀术著称，而独臂大侠王刚则以独门金刀刀法和轻功与之对抗。最后误会消除，王刚不禁慨叹“你是个好人，如果言语能通……”有趣的是，因为要兼顾双方影迷的情绪，影片上映时有两个版本，日本版名为《盲侠大破唐人剑》，结局是座头市要了王刚的命，而香港版则名为《独臂刀大战盲侠》，结局是独臂刀击败了盲侠。,,East_Asia,Chinese,Pre-1990s,1,https://movie.douban.com/subject/1308572/
亚洲秘密警察,1972,日语 / 汉语普通话 / 英语,日语,外语为第一语言,松尾昭典,剧情,中国香港 / 日本,5.3,165,本片乃邵氏与日本日活公司合作拍摄的占士邦式动作片。走私黄金的犯罪组织首领乔治伊顿(宾户锭 饰)潜逃香港，亚洲秘密警察日本支部探员杨明轩(王羽饰)远赴香港缉凶，期间结识香港密探赖雨田(王侠 饰)，更周旋于美女杏子(浅丘琉璃子 饰)、春子(滨川智子 饰)及杨明华(方盈 饰)之间……,,China,Chinese,Pre-1990s,1,https://movie.douban.com/subject/2355478/
龙争虎斗,1973,英语 / 粤语,英语,外语为第一语言,罗伯特·高洛斯,动作 / 犯罪,美国 / 中国香港,8.3,24606,少林叛徒韩先生（石坚 饰）背叛少林后，斥资买下一座小岛将其改造成私人王国，韩先生及一干手下在岛上制贩毒品，强迫女性卖淫，警方欲将其绳之以法却苦无证据。少林高徒李（李小龙 饰）的功夫已经超越有形境界，他受师傅与政府请托，准备参加三年一度由韩先生主办的比武大会。比武大会期间，是登陆孤岛搜集证据的唯一机会。同时韩先生的私人保镖熬加达曾经杀害了李的姐姐，是李恨之入骨的仇人。比武大会的邀请发出，世界各地选手纷纷聚集，有债务缠身的鲁柏、勇于对抗不公的威廉士等人与李一同登岛决一雌雄。李找到了政府在岛上安插的情报员美玲，在后者的帮助下，李与各路选手以及韩先生展开了一场龙争虎斗。,影片融合了中国功夫与西方特工类型范式，以李小龙刚猛凌厉的实战动作，展现了武术哲学的深邃魅力，风靡全球。,North_America,Chinese,Pre-1990s,1,https://movie.douban.com/subject/1293118/
七金尸,1974,英语 / 汉语普通话,英语,外语为第一语言,罗伊·沃德·贝克 / 张彻,动作 / 奇幻 / 恐怖,英国 / 中国香港,5.2,580,邵氏公司和英国咸马公司合作拍摄的这部结合了西方的吸血鬼故事和中国的“湘西赶尸”传说的影片是香港的僵尸片之祖。在中国湘西，七金尸古庙的大法师借由吸血鬼Dracula的力量使七金尸复活，以便再次控制湘西村落。想不到Dracula却杀了法师，附上他的尸体上回到中国，将七金尸复活。为了解救家乡，Hsi Ching（姜大卫）跟随他的老师星相学家Van Helsing教授及其子还有一位富有的女寡妇Buren太太一起回乡捉僵尸...这部片子土洋结合，但由于片中揉杂的东西太多，当时的观众接受不了，导致票房惨败。香港电影界在其后的十年都不敢再碰僵尸题材。,,Europe,Chinese,Pre-1990s,1,https://movie.douban.com/subject/1292782/
洋妓,1974,英语 / 德语 / 汉语普通话,英语,外语为第一语言,桂治洪 / 恩斯特·霍夫鲍尔,动作 / 喜剧,中国香港 / 西德,5.3,266,五个西方女孩是由中国海盗绑架并卖到妓院。而他们被训练成为妓女，一对夫妇当地居民采取怜悯他们，并教他们功夫绘出他们逃跑。这五个衣着暴露的女孩，用他们的新发现的武术技能，然后....,,China,Chinese,Pre-1990s,1,https://movie.douban.com/subject/1307479/
八百壮士,1976,汉语普通话 / 日语 / 英语,汉语普通话,外语为主(外语2/中文1),丁善玺,剧情 / 历史 / 战争,中国台湾,7.3,2996,丁善玺编导的本片，继《英烈千秋》后，叙述1937年8月13日日寇侵略上海，中国88师524团团长谢晋元，为牵制日军，掩护中国军队后撤，率领480青年军官，号称八百壮士，固守四行仓库，达三个月之久。军人英勇杀敌，女童子军冒着生命危险给守军输送食物、医药，当牵制任务完成，守军越过苏州桥后撤。本片的格局手法与《英烈千秋》完全不同，只限于几成孤岛上海的苏州河畔的四行仓库，数百中国军人与包围的日军进行阵地战。导演根据史实，利用四行仓库周围有英法租界，苏州河对面又是国统区，苏州河两岸战争与和平不同环境造成的戏剧冲突，表现了爱国军队抗击侵略者英勇无畏的精神，和上海人民声援国民党守军的时代气氛。导演把握住双方冲突的因素，安排丛生的险象，利用国军在枪林弹雨下游过苏州河，民众都为军人担心的正反打镜头蒙太奇剪接手法，形成扣人心弦的场面，把剧情推向高潮。本事件曾于1938年搬上银幕，是默片，由阳翰笙编剧，应云卫导演，袁牧之、陈波儿主演，是抗战时期“大后方电影”中较为著名的一部，其中女童子军冒死为壮士们送国旗的细节，具有极为悲壮的感染力。影片在当时的大后方及香港极为轰动，而且在东南亚甚至西欧都得到热烈反响。,影片以宏大的战争场面和悲壮的群像塑造，讴歌了抗战先烈以身殉国的浩然正气，场面催人泪下。,China,Chinese,Pre-1990s,1,https://movie.douban.com/subject/1876476/
俏探女娇娃,1977,英语 / 汉语普通话,英语,外语为第一语言,鲍学礼,动作 / 剧情,中国香港,5.3,118,走私集團主腦沙福天利用少女偷運鑽石， 事成後由飛刀手方風殺人滅口. 蘇格蘭場警官伊芙蓮受命來港成立特別調查小組， 港日韓三地女幹探楊潔新、呂冰和高真真應邀加入. 新男友李浩的父親在一宗珠寶劫案中被風殺死， 浩誓報此仇. 新混入天的夜總會當飛刀女郎， 藉以接近風及天的情婦柔姬 ; 冰假扮按摩女郎， 順利博得天的歡心 ; 真則喬裝夜總會歌女， 訛稱欠下巨債， 獲天指派走私鑽石往漢城. 真與漢城警方裡應外合， 成功搗破行動. 風懷疑新是內奸， 乘她與浩會面時， 把二人逮住. 天亦識破冰身份， 欲把她姦污， 真及時趕來， 但寡不敵眾， 一同被擒. 危急之際， 蓮偕警察驅快艇趕至， 把企圖逃走的天和風射殺.,,China,Chinese,Pre-1990s,1,https://movie.douban.com/subject/3041656/
卖身契,1978,英语 / 粤语,英语,外语为第一语言,许冠文,喜剧,中国香港,7.8,6017,志文（许冠文 饰）是电视台一名跑龙套，自认为很有才华，所以一直郁郁不得志。志文的弟弟志新（许冠英 饰）是一个天才发明家，最近他发明了一部笑弹机，能让人大笑不止。正当志文得过且过之时，另外一家电视台请他去客窜一回主持，志文信心十足、带着弟弟的新发明前往晚会现场，志文的卖力 表演和笑弹机的威力令在场的所有人都大笑不已，节目的效果超过了预期。于是，这家电视台许诺高薪想挖志文过来。志文也十分想走，无奈自己和原来的电视台签了8年的卖身契，如果违约将承担巨额赔款。一个晚上，兄弟俩一起潜入了电视台的保险库，想将卖身契偷回来……,经典电影暂无评价,China,Chinese,Pre-1990s,1,https://movie.douban.com/subject/1462467/
