movie_id,片名,年份,豆瓣评分,语言,类型,Region,候选原因,默认建议,备注
25922880,川剧往事,2014,6.8,四川话,剧情,China,片名含剧种名（弱信号，类型未标戏曲）,保留,《川剧往事》(2014)：片名含剧种但类型为剧情，对白为四川话的叙事电影
2352638,摩登土佬,1980,6.2,粤语,喜剧 / 音乐,China,音乐题材叙事片（类型含音乐+叙事类型）,保留,含叙事类型，对白为方言的剧情片，建议保留
1291876,黄土地,1984,7.9,汉语普通话 / 陕西方言,剧情 / 音乐,China,音乐题材叙事片（类型含音乐+叙事类型）,保留,含叙事类型，对白为方言的剧情片，建议保留
1308424,BEYOND日记之莫欺少年穷,1991,8.1,粤语,喜剧 / 音乐,China,音乐题材叙事片（类型含音乐+叙事类型）,保留,含叙事类型，对白为方言的剧情片，建议保留
1306283,反斗智多星,1992,6.4,英语 / 粤语,喜剧 / 音乐,North_America,音乐题材叙事片（类型含音乐+叙事类型）,保留,含叙事类型，对白为方言的剧情片，建议保留
1301477,反斗智多星2,1993,6.4,英语 / 粤语,喜剧 / 音乐,North_America,音乐题材叙事片（类型含音乐+叙事类型）,保留,含叙事类型，对白为方言的剧情片，建议保留
1308371,万籁俱寂,1998,7.9,波斯语 / 塔吉克语 / 俄语,剧情 / 音乐,Other,音乐题材叙事片（类型含音乐+叙事类型）,保留,含叙事类型，对白为方言的剧情片，建议保留
3732861,左右情缘,1999,8.3,粤语,剧情 / 爱情 / 音乐,China,音乐题材叙事片（类型含音乐+叙事类型）,保留,含叙事类型，对白为方言的剧情片，建议保留
1310153,清洁,2004,7.5,法语 / 英语 / 粤语,剧情 / 音乐,Europe,音乐题材叙事片（类型含音乐+叙事类型）,保留,含叙事类型，对白为方言的剧情片，建议保留
1779509,四大天王,2006,7.0,粤语 / 英语,喜剧 / 剧情 / 音乐,China,音乐题材叙事片（类型含音乐+叙事类型）,保留,含叙事类型，对白为方言的剧情片，建议保留
1908385,恋爱初歌,2006,6.1,粤语,剧情 / 音乐 / 爱情,China,音乐题材叙事片（类型含音乐+叙事类型）,保留,含叙事类型，对白为方言的剧情片，建议保留
3003092,冈拉梅朵,2008,6.3,汉语普通话 / 藏语,剧情 / 爱情 / 音乐,China,音乐题材叙事片（类型含音乐+叙事类型）,保留,含叙事类型，对白为方言的剧情片，建议保留
7055667,起势摇滚,2012,6.5,粤语,剧情 / 音乐,China,音乐题材叙事片（类型含音乐+叙事类型）,保留,含叙事类型，对白为方言的剧情片，建议保留
26895406,大乐师．为爱配乐,2017,6.0,粤语,剧情 / 爱情 / 音乐,China,音乐题材叙事片（类型含音乐+叙事类型）,保留,含叙事类型，对白为方言的剧情片，建议保留
4047730,蝶影红梨记,1959,9.1,粤语,歌舞 / 爱情,China,已知戏曲片：粤剧经典《蝶影红梨记》(1959)，豆瓣类型误标为歌舞/爱情,排除,
3642305,歌舞升平,2008,7.7,粤语,纪录片,China,已知音乐纪录片：《歌舞升平》(2008)：类型仅标纪录片，实为音乐纪录片,排除,
4307305,唐伯虎点秋香,1957,8.2,粤语,戏曲,China,戏曲片（类型含戏曲）,排除,
1918697,帝女花,1959,9.4,粤语,戏曲,China,戏曲片（类型含戏曲）,排除,
2305317,卷席筒,1979,8.5,汉语/方言/曲剧/河南话,戏曲,China,戏曲片（类型含戏曲）,排除,
1903720,五女拜寿,1984,9.0,汉语普通话 / 吴越方言,戏曲,China,戏曲片（类型含戏曲）,排除,
2340946,对花枪,1985,8.6,河南方言,动作 / 戏曲,China,戏曲片（类型含戏曲）,排除,
4728526,抬花轿,1986,9.0,河南话,爱情 / 戏曲,China,戏曲片（类型含戏曲）,排除,
10462938,我爱我爹,1999,8.8,河南话,戏曲,China,戏曲片（类型含戏曲）,排除,
