movie_id,片名,年份,豆瓣评分,评价人数,导演,类型,语言,Region
1462467,卖身契,1978,7.8,6017,许冠文,喜剧,英语 / 粤语,China
1308456,死亡游戏,1978,7.8,14386,罗伯特·高洛斯,动作 / 犯罪 / 剧情,英语 / 汉语普通话 / 粤语,China
1295964,龙之忍者,1982,7.0,203,元奎,动作 / 喜剧,英语 / 粤语,China
1298235,两只老虎,1985,6.3,729,吴宇森,家庭 / 喜剧 / 奇幻,英语 / 粤语,China
1304199,威龙猛探,1985,6.3,4253,詹姆斯·格利肯豪斯,剧情 / 动作 / 犯罪,英语 / 粤语,China
1305595,中华英雄,1986,6.4,5628,李连杰,动作 / 战争,英语 / 粤语,China
2567692,太阳之子,1990,6.2,1067,钱升玮 / 华山,动作,英语 / 粤语,China
1308304,客途秋恨,1990,8.5,16068,许鞍华,剧情 / 家庭,英语 / 汉语普通话 / 粤语 / 日语,China
1304618,老虎出更2,1990,5.9,2241,刘家良,剧情 / 喜剧 / 动作,英语 / 粤语,China
1299373,阿修罗,1990,6.3,3422,蓝乃才 / 刘仕裕,动作 / 冒险 / 奇幻,日语 / 粤语,China
1296556,上海1920,1991,7.1,454,梁普智,剧情,英语 / 汉语普通话 / 粤语,China
1295285,多桑,1994,8.6,4257,Nien-Jen Wu,剧情,日语 / 闽南语 / 汉语普通话,China
1292895,精武英雄,1994,8.5,114625,陈嘉上,动作 / 剧情,英语 / 粤语 / 日语 / 汉语普通话,China
1300540,旺角的天空,1995,6.6,990,陈木胜 / 郑伟文,犯罪 / 动作 / 剧情,英语 / 粤语,China
2132732,虎猛威龙,1995,5.8,1142,袁和平,动作,英语 / 粤语,China
1296947,警察故事4：简单任务,1996,7.5,35261,唐季礼,喜剧 / 动作 / 犯罪,英语 / 粤语 / 汉语普通话 / 俄语 / 乌克兰语,China
1295547,一个好人,1997,7.2,30645,洪金宝,动作 / 喜剧 / 犯罪,英语 / 汉语普通话 / 粤语,China
1300303,我是谁,1998,7.7,130264,陈木胜 / 成龙,喜剧 / 动作 / 科幻,英语 / 粤语 / 荷兰语,China
1303590,玻璃之城,1998,7.9,63918,张婉婷,剧情 / 爱情,英语 / 汉语普通话 / 粤语,China
1400123,顾城别恋,1998,5.5,1705,陈丽英,传记 / 剧情 / 爱情,英语 / 汉语普通话 / 德语 / 粤语,China
1434049,化骨龙与千年虫,1999,6.0,2733,张敏,喜剧 / 犯罪,英语 / 粤语,China
1307875,公元2000 AD,2000,5.4,3078,陈嘉上,动作 / 惊悚,英语 / 粤语 / 汉语普通话,China
1307488,三更,2002,7.4,28748,金知云 / 朗斯·尼美毕达 / 陈可辛,爱情 / 悬疑 / 奇幻,韩语 / 英语 / 汉语普通话 / 泰语 / 粤语,China
1307762,赤裸特工,2002,6.4,87051,程小东,动作 / 剧情 / 爱情,英语 / 粤语,China
1308482,双雄,2003,6.4,37357,陈木胜,惊悚,英语 / 汉语普通话 / 粤语,China
1900006,电影香江：刀光剑影,2003,7.7,573,伊恩·泰勒,纪录片,英语 / 粤语,China
1308855,大事件,2004,6.8,50408,杜琪峰,动作 / 犯罪 / 剧情,英语 / 汉语普通话 / 粤语,China
1306160,新警察故事,2004,7.7,280892,陈木胜,动作 / 犯罪 / 剧情,英语 / 汉语普通话 / 粤语,China
1307186,飞鹰,2004,5.2,19607,马楚成,动作 / 冒险,英语 / 粤语,China
