movie_id,片名,年份,豆瓣评分,评价人数,导演,类型,语言,Region
1306870,猛龙过江,1972,8.4,39134,李小龙,动作 / 喜剧 / 犯罪,汉语普通话 / 粤语 / 英语 / 意大利语,China
1294991,精武门,1972,8.5,36254,罗维,动作 / 剧情 / 爱情,粤语 / 英语,China
1478691,李小龙的生与死,1973,7.4,665,何冠昌,纪录片,粤语 / 英语 / 汉语普通话,China
1770510,蛇杀手,1974,7.0,1537,桂治洪,犯罪 / 惊悚 / 情色,汉语普通话 / 英语 / 粤语,China
1353744,爱杀,1981,7.0,1431,谭家明,剧情 / 悬疑 / 爱情,粤语 / 英语,China
3736057,邪魔,1981,6.2,247,张人杰,恐怖,汉语普通话 / 英语 / 粤语,China
1297854,彩云曲,1982,6.6,691,吴小云,剧情,粤语 / 英语,China
1296557,投奔怒海,1982,8.5,16202,许鞍华,剧情,粤语 / 日语 / 法语 / 越南语,China
1301118,柠檬可乐,1982,7.1,4520,蔡继光,歌舞 / 喜剧 / 剧情,粤语 / 英语 / 汉语普通话,China
1305364,烈火青春,1982,7.5,6341,谭家明,剧情 / 爱情 / 惊悚,粤语 / 日语 / 汉语普通话,China
5173709,血洗唐人街,1982,5.6,108,Stanley Wing Siu,动作,粤语 / 英语,China
2353977,鬼马神偷,1982,5.8,115,魯俊谷,喜剧 / 犯罪,汉语普通话 / 粤语 / 英语,China
1920138,家在香港,1983,7.4,1091,敬海林,剧情 / 爱情,粤语 / 英语 / 汉语普通话,China
1298871,海滩的一天,1983,8.4,18810,杨德昌,剧情 / 爱情,汉语普通话 / 闽南话 / 日语 / 德语,China
4933213,车魂,1983,7.2,216,盧寶倫,恐怖,粤语 / 英语,China
1292867,快餐车,1984,7.8,59308,洪金宝,动作 / 喜剧,粤语 / 英语,China
1292846,省港旗兵,1984,7.9,15054,麦当雄,动作 / 犯罪,粤语 / 英语 / 汉语普通话,China
32568945,张国荣1985夏日百爵演唱会,1985,9.5,164,,纪录片 / 音乐 / 歌舞,粤语 / 汉语普通话 / 英语,China
1304009,流氓公仆,1985,6.2,247,王钟,动作 / 犯罪,粤语 / 英语,China
30468873,张国荣86浓情演唱会,1986,9.6,339,,纪录片 / 音乐 / 歌舞,粤语 / 汉语普通话 / 英语,China
1962448,灵幻童子,1986,6.6,416,李作楠,恐怖,汉语普通话 / 英语 / 粤语,China
1302799,卫斯理传奇,1987,6.6,4665,泰迪·罗宾,动作 / 冒险 / 科幻,粤语 / 日语,China
3067310,异乡故事,1987,7.4,113,黄华麒,剧情,粤语 / 日语,China
1863626,用爱捉伊人,1987,6.7,476,曾志伟,喜剧,粤语 / 日语,China
1301912,秋天的童话,1987,8.5,81053,张婉婷,剧情 / 爱情,粤语 / 英语 / 日语,China
1306140,英雄好汉,1987,7.1,7600,黄泰来,剧情 / 动作 / 犯罪,粤语 / 英语 / 汉语普通话,China
1297862,英雄本色2,1987,8.4,148935,吴宇森,剧情 / 动作 / 犯罪,粤语 / 汉语普通话 / 英语,China
1299858,龙兄虎弟,1987,7.4,25690,成龙 / 曾志伟,动作 / 冒险 / 喜剧,粤语 / 英语,China
1299658,龙虎风云,1987,7.7,15523,林岭东,动作 / 犯罪 / 剧情,粤语 / 汉语普通话 / 英语,China
