movie_id,片名,年份,导演,语言,制片国家/地区,豆瓣评分,评价人数,benchmark,score,hits,剧情简介_前200,Gemini评价,来源URL,final_decision,confidence,reason
26752088,我不是药神,2018,文牧野,汉语普通话 / 英语 / 上海话 / 印地语,中国大陆,9.0,1828478,0,0,,普通中年男子程勇（徐峥 饰）经营着一家保健品店，失意又失婚。不速之客吕受益（王传君 饰）的到来，让他开辟了一条去印度买药做“代购”的新事业，虽然困难重重，但他在这条“买药之路”上发现了商机，一发不可收拾地做起了治疗慢粒白血病的印度仿制药独家代理商。赚钱的同时，他也认识了几个病患及家属，为救女儿被迫做舞女的思慧（谭卓 饰）、说一口流利“神父腔”英语的刘牧师（杨新鸣 饰），以及脾气暴烈的“黄毛”（章宇,将时代的沉浮与个人的命运交织在一起，展现了爱与温情的多重维度，底蕴深厚，发人深省。,https://movie.douban.com/subject/26752088/,no,0.85,上海话仅点缀的普通话商业片
900072,让子弹飞,2010,姜文 Wen Jiang,汉语普通话 / 四川话 / 山西话,中国大陆 / 香港,8.7,1438181,1,3,E1,经典电影暂无简介。,《让子弹飞》：姜文政治隐喻与商业喜剧的完美爆发，土匪张麻子与劣绅黄四郎的斗智斗勇，台词句句经典，极具解读深度。,https://movie.douban.com/subject/3742360/,yes,0.95,川渝方言贯穿全程的标杆片
26861685,红海行动,2018,林超贤,汉语普通话 / 阿拉伯语 / 英语 / 索马里语 / 粤语,中国大陆 / 中国香港,8.2,939139,0,-1,N2,中东国家伊维亚共和国发生政变，武装冲突不断升级。刚刚在索马里执行完解救人质任务的海军护卫舰临沂号，受命前往伊维亚执行撤侨任务。舰长高云（张涵予 饰）派出杨锐（张译 饰）率领的蛟龙突击队登陆战区，护送华侨安全撤离。谁知恐怖组织扎卡却将撤侨部队逼入交火区，一场激烈的战斗在所难免。与此同时，法籍华人记者夏楠（海清 饰）正在伊维亚追查威廉·柏森博士贩卖核原料的事实，而扎卡则突袭柏森博士所在的公司，意图抢走,《红海行动》是中国现代军事动作片的巅峰巨作，林超贤导演的战场调度极其硬核，枪战和爆破戏水准极高，震撼无比。,https://movie.douban.com/subject/26861685/,no,0.9,军事行动片粤语仅配角语言
27110296,无名之辈,2018,饶晓志,汉语普通话 / 贵州方言,中国大陆,8.0,927485,0,1,E2,来自乡村的笨贼眼镜（章宇 饰）和大头（潘斌龙 饰）抢了一家手机店，慌乱之中逃进坐着轮椅的单身女子嘉旗（任素汐 饰）的家中。嘉旗早已失去活着的欲望，她强横地要求俩笨贼杀死自己。另一边，某楼盘老板资金链断裂跑路，留下保安马先勇（陈建斌 饰）与讨债者周旋。马曾经是立功无数的协警，可就在转正的关头因为一场车祸毁了原本看似美好的一切。不久前他挖到一把喷子，原本打算交给当初的警察好友立功，却发现喷子被换成了水,剧情跌宕起伏，逻辑严密，在重重迷雾中拷问人性底线，给观众带来强烈的心理震撼，这是一部值得反复品味的经典之作。,https://movie.douban.com/subject/27110296/,yes,0.95,全程贵州方言黑色喜剧
26425063,无双,2018,庄文强,汉语普通话 / 粤语 / 英语 / 泰语 / 波兰语,中国大陆 / 中国香港,8.0,847858,0,1,E2,身陷囹圄的李问（郭富城 饰）被引渡回港，他原本隶属于一个的跨国假钞制贩组织。该组织曾犯下过多宗恶性案件，而首脑“画家”不仅始终逍遥法外，连真面目都没人知道。为了逼迫李问吐露“画家”真实身份，警方不惜用足以判死刑的假罪证使其就范。就在此时，富有的遗孀阮文（张静初 饰）申请保释李问，而警方提出的条件依然是“画家”的真面目。原来早在十数年前，李问和阮文是一对画家情侣，无奈女友的作品受人青睐，李问的画作却,剧情跌宕起伏，逻辑严密，在重重迷雾中拷问人性底线，给观众带来强烈的心理震撼，这是一部值得反复品味的经典之作。,https://movie.douban.com/subject/26425063/,no,0.85,跨国伪钞案多语港片方言非主体
26698897,唐人街探案2,2018,陈思诚,汉语普通话 / 英语 / 日语 / 粤语,中国大陆,6.6,827600,0,-1,N2,突然得到唐仁（王宝强 饰）即将结婚的消息，喜出望外的秦风（刘昊然 饰）匆忙登上飞往美国纽约的班机。谁知落地后很快发现，这不过是唐仁诓他过来的谎言。唐仁把秦风带到了一座豪华宅邸，这里早已云集包括野田昊（妻木夫聪 饰）在内的数位世界顶尖侦探。把他们召集到这里的是北美华人堂口老大七叔（曾江 饰），就在不久前他的宝贝孙子被人残忍杀害，不仅如此，尸体还被划出Y字形伤口，心脏不翼而飞。七叔悲愤交加，悬赏500,《唐人街探案2》将推理舞台搬到纽约，喜剧与探案的节奏融合完美，时代广场摩托飞车与曼哈顿街头探案令人印象深刻。,https://movie.douban.com/subject/26698897/,no,0.9,纽约探案喜剧普通话主导
900225,疯狂的石头,2006,宁浩 Hao Ning,汉语普通话 / 重庆话,中国大陆 / 香港,8.3,702896,1,1,E2,经典电影暂无简介。,《疯狂的石头》：中国本土化盖里奇多线叙事黑色喜剧奇迹，山城重庆内翡翠争夺案一环扣一环，草根笑料密集极其爆笑。,https://movie.douban.com/subject/1862151/,yes,0.95,重庆话多线叙事标杆片
25815034,湄公河行动,2016,林超贤,汉语普通话 / 粤语 / 泰语 / 缅甸语 / 英语,中国大陆 / 中国香港,8.0,670903,0,1,E2,金三角湄公河上，一处被称为“鬼门关”的河段，两艘来自中国的商船遭到不明身份之人的枪击袭击。未过多久，泰国军方召开新闻发布会，指责中国商船贩卖毒品。虽然发布会宣称船员全部逃亡，但是十三具遭受残忍杀害的中国船员尸体很快被人发现。这起胆大妄为的案件令中国警方大为震惊，云南省缉毒总队队长高刚（张涵予 饰）受命带特别行动小组前往泰国，并与情报员方新武（彭于晏 饰）合作接洽。根据现有资料显示，这件案子由盘踞在,用克制而深情的镜头语言，谱写了一曲关于生命与永恒情感的赞歌，令人久久不能释怀。,https://movie.douban.com/subject/25815034/,no,0.9,跨境缉毒动作片
26277313,西游记之大圣归来,2015,田晓鹏,汉语普通话 / 粤语,中国大陆,8.3,617094,0,1,E2,五百年前，由石猴变化而成的齐天大圣孙悟空（张磊 配音）大闹天宫，最终被如来佛祖镇在了五行山下。此去经年，长安城内突然遭到山妖洗劫，童男童女哭声连连，命悬一线。危机时刻，自幼被行脚僧法明（吴文伦 配音）抚养长大的江流儿（林子杰 配音）救下了一个小女孩，结果反遭山妖追杀。经过一番追逐，江流儿无意中解除了孙悟空的封印，齐天大圣自然好好地将山妖教训了一番。因为封印未解开，悟空不得不护送江流儿和小女孩回长安,用斑斓奇幻的色彩与纯真的故事，唤醒了久违的纯真与梦想，充满童趣与温暖力量，这是一部值得反复品味的经典之作。,https://movie.douban.com/subject/26277313/,no,0.9,粤语仅为发行配音版本
3649049,金陵十三钗,2011,张艺谋,汉语普通话 / 英语 / 日语 / 南京话 / 上海话,中国大陆 / 中国香港,8.2,605483,0,2,E1+N2,1937年，日军入侵南京，战火中，六朝古都化为废墟，众多中国军民被困城中。一支十数人的国军德械教导队余部在长官李教官（佟大为 饰）指挥下，从日军手中救出了一批教会学校女学生，而李教官等人，至此丧失了出城的机会。幸免于难的书娟（张歆怡 饰）等学生返回文彻斯特教堂，随她们一 起来到的，还有受雇远道至此收敛神父遗体的美国人约翰·米勒（克里斯蒂安·贝尔 Christian Bale 饰）。此时的南京城中，,将时代的沉浮与个人的命运交织在一起，展现了爱与温情的多重维度，底蕴深厚，发人深省。,https://movie.douban.com/subject/3649049/,yes,0.9,南京话上海话对白成规模
