movie_id,片名,年份,导演,类型,地区,豆瓣链接,百度百科URL,补全语言,置信度,提取依据,备注
2133689,啼笑因缘,1932,张石川,喜剧 / 爱情,中国大陆,https://movie.douban.com/subject/2133689/,https://baike.baidu.com/item/啼笑因缘,普通话,人工复核（默认确认）,词条为2004年电视剧非1932年电影，infobox语言=普通话,词条与目标电影不匹配；非方言
2136261,艺海风光二：话剧团,1938,贺孟斧,爱情 / 短片,中国大陆,https://movie.douban.com/subject/2136261/,https://baike.baidu.com/item/艺海风光二,汉语普通话,人工复核,用户人工复核：未提及，按汉语普通话处理,非方言
26430667,几番风雨,1949,何兆璋,,中国大陆,https://movie.douban.com/subject/26430667/,https://baike.baidu.com/item/几番风雨,汉语普通话,人工复核,用户人工复核：未提及，按汉语普通话处理,非方言
1937852,追鱼,1960,应云卫,爱情 / 奇幻 / 戏曲,中国大陆,https://movie.douban.com/subject/1937852/,https://baike.baidu.com/item/追鱼,越剧,人工复核,越剧戏曲片,非方言；戏曲声腔，按v4.1属排除范围
2080226,国际大营救,1990,谢洪,动作 / 冒险,中国大陆,https://movie.douban.com/subject/2080226/,https://baike.baidu.com/item/国际大营救,普通话,人工复核（默认确认）,词条为2012年电视剧非1990年电影，infobox语言=普通话,词条与目标电影不匹配；非方言
3598362,郑进一的鬼故事,1990,郑进一,剧情 / 恐怖,中国台湾,https://movie.douban.com/subject/3598362/,https://baike.baidu.com/item/郑进一的鬼故事,汉语普通话,人工复核（默认确认）,制片地区=中国台湾，无对白语言字段,从制片地区推测；非方言
4133310,惊梦魂,1995,吴耀权,恐怖,中国香港,https://movie.douban.com/subject/4133310/,https://baike.baidu.com/item/惊梦魂,粤语/普通话,人工复核,"百度百科""普通话/粤语""，抖音百科""粤语/汉语""；粤语现场收音的香港片",方言电影；粤语为主要对白语言；Tier 1；Tier 2a（20260816修正）
2129914,八廓南街16号,1997,段锦川,纪录片,中国大陆,https://movie.douban.com/subject/2129914/,https://baike.baidu.com/item/八廓南街16号,藏语,人工复核,"百度百科""语言：藏语""；直接电影手法，同期声记录拉萨八廓街居委会日常",方言电影；藏语由居委会工作人员与居民持续使用并承担核心叙事功能；Tier 1
1763277,山有多高,2003,汤湘竹,纪录片,中国台湾,https://movie.douban.com/subject/1763277/,https://baike.baidu.com/item/山有多高,汉语普通话,人工复核（默认确认）,infobox: 对白语言=汉语普通话,制片地区=中国台湾；词条年份为2002年；非方言
1308060,龙的深处―失落的拼图,2003,张婉婷,纪录片 / 传记,中国香港,https://movie.douban.com/subject/1308060/,https://baike.baidu.com/item/龙的深处,粤语/安徽方言,人工复核,粤语：成龙及香港家人的日常语言；安徽方言：成龙父亲房道龙及安徽老家亲人的语言,方言电影；纪录片多语言交织，国语旁白为框架但粤语和安徽方言占显著篇幅；Tier 2a或2b
1776198,渴望一份真爱的感觉,2005,曾念平,爱情,中国大陆,https://movie.douban.com/subject/1776198/,https://baike.baidu.com/item/渴望一份真爱的感觉,汉语普通话,人工复核（默认确认）,infobox: 对白语言=汉语普通话,非方言
3713709,Q鱼的下午,2006,林哲乐,动画 / 短片,中国大陆,https://movie.douban.com/subject/3713709/,https://baike.baidu.com/item/Q鱼的下午,汉语普通话,人工复核（默认确认）,infobox: 语言=汉语普通话; 制片地区=中国大陆,非方言
1980643,天上掉馅饼,2006,喻维宏,喜剧,中国大陆,https://movie.douban.com/subject/1980643/,https://baike.baidu.com/item/天上掉馅饼,汉语普通话,人工复核,用户人工复核：未提及，按汉语普通话处理,非方言
2255686,河内，河内,2007,李伟 / 张京 / 裴俊勇,,中国 / 越南,https://movie.douban.com/subject/2255686/,https://baike.baidu.com/item/河内河内,汉语普通话,人工复核,用户人工复核：未提及，按汉语普通话处理,非方言
5360240,我的童谣,2010,刘鼎业,,中国大陆,https://movie.douban.com/subject/5360240/,https://baike.baidu.com/item/我的童谣,普通话,人工复核（默认确认）,infobox: 对白语言=普通话,非方言
20435136,巴别塔,2011,周圣崴,动画,中国大陆,https://movie.douban.com/subject/20435136/,https://baike.baidu.com/item/巴别塔,汉语普通话,人工复核,用户人工复核：未提及，按汉语普通话处理,非方言
33425521,张学友1/2世纪世界巡回演唱会,2011,,音乐,中国大陆 / 中国香港,https://movie.douban.com/subject/33425521/,https://baike.baidu.com/item/张学友1/2世纪世界巡回演唱会,普通话/粤语,人工复核,演唱会,非方言；演唱会类型
6905203,老虎,2011,毕赣,剧情,中国大陆,https://movie.douban.com/subject/6905203/,https://baike.baidu.com/item/老虎,汉语普通话,人工复核,用户人工复核：未提及，按汉语普通话处理,非方言
11519187,我的中学时代,2012,林旭坚,剧情 / 爱情,中国大陆,https://movie.douban.com/subject/11519187/,https://baike.baidu.com/item/我的中学时代,中文,人工复核（默认确认）,infobox: 对白语言=中文,非方言
10518931,猎人与骷髅怪,2012,白斌,动画 / 冒险 / 短片,中国大陆,https://movie.douban.com/subject/10518931/,https://baike.baidu.com/item/猎人与骷髅怪,藏语（甘孜方言）,人工复核,"百度百科""语言：藏语（甘孜方言）""；影片对白全程使用康巴地区东部甘孜方言",方言电影；Tier 1；藏语属于项目定义涵盖的少数民族语言
19931629,痛苦的信仰,2012,胡涂,纪录片,中国大陆,https://movie.douban.com/subject/19931629/,https://baike.baidu.com/item/痛苦的信仰,汉语普通话,人工复核,用户人工复核：未提及，按汉语普通话处理,非方言
26980826,双城记,2013,陈国辉,爱情,中国香港,https://movie.douban.com/subject/26980826/,https://baike.baidu.com/item/双城记,汉语普通话,人工复核,用户人工复核：未提及，按汉语普通话处理,非方言
19899635,穷人·榴莲·麻药·偷渡客,2013,赵德胤,剧情,中国台湾 / 缅甸,https://movie.douban.com/subject/19899635/,https://baike.baidu.com/item/穷人·榴莲·麻药·偷渡客,云南方言/缅语,人工复核,"该片语言为""云南方言、缅语的混合""",方言电影；云南方言属汉语西南官话，缅语为外语不影响方言定性；Tier 2a
26617033,娘惹肉,2014,王文博,,中国大陆,https://movie.douban.com/subject/26617033/,https://baike.baidu.com/item/娘惹肉,汉语普通话,人工复核,用户人工复核：未提及，按汉语普通话处理,非方言
25945400,爱情终结战,2014,于承琳,剧情 / 爱情,中国大陆,https://movie.douban.com/subject/25945400/,https://baike.baidu.com/item/爱情终结战,普通话,人工复核（默认确认）,无infobox语言字段；制片地区=中国大陆,从制片地区推测；非方言
26680840,夜袭寡妇村,2015,金毅,,中国大陆,https://movie.douban.com/subject/26680840/,https://baike.baidu.com/item/夜袭寡妇村,普通话,人工复核（默认确认）,infobox: 对白语言=普通话,非方言
26716393,女导演连环杀人案,2015,姚祖妍,,中国大陆,https://movie.douban.com/subject/26716393/,https://baike.baidu.com/item/女导演连环杀人案,普通话,人工复核（默认确认）,infobox: 对白语言=普通话；制片地区=中国大陆,非方言
30419995,把乐带回家2015,2015,韦正,,中国大陆,https://movie.douban.com/subject/30419995/,https://baike.baidu.com/item/把乐带回家2015,汉语普通话,人工复核,用户人工复核：未提及，按汉语普通话处理,非方言
26309329,挖玉石的人,2015,赵德胤,纪录片,中国台湾 / 缅甸 Myanmar,https://movie.douban.com/subject/26309329/,https://baike.baidu.com/item/挖玉石的人,缅甸语,人工复核（默认确认）,infobox: 对白语言=缅甸语,制片地区=缅甸、中国台湾；疑似错标Region；非方言
