movie_id,片名,年份,Region,语言,处置,原因,审计日期,依据,状态,处理日期,来源
3027168,卖花姑娘,1972,East_Asia,朝鲜语,整行删除,'朝鲜语'国别歧义（朝鲜半岛影片），全量口径假阳性，整行删除,2026-08-15,待审错误清单_20260815.md 第二/三/八类（用户审核确认）,,,
3012294,安重根击毙伊藤博文,1979,East_Asia,朝鲜语,整行删除,'朝鲜语'国别歧义（朝鲜半岛影片），全量口径假阳性，整行删除,2026-08-15,待审错误清单_20260815.md 第二/三/八类（用户审核确认）,,,
4154630,春香传,1980,East_Asia,朝鲜语,整行删除,'朝鲜语'国别歧义（朝鲜半岛影片），全量口径假阳性，整行删除,2026-08-15,待审错误清单_20260815.md 第二/三/八类（用户审核确认）,,,
1297614,头脑简单的杀人犯,1982,Europe,南部瑞典方言 / 瑞典语,整行删除,境外方言标签被'方言'兜底误命中，全量口径假阳性，整行删除,2026-08-15,待审错误清单_20260815.md 第二/三/八类（用户审核确认）,,,
5279979,The Court-Martial of Jackie Robinson,1990,North_America,英语,整行删除,豆瓣无此片评分（数据源错误），整行删除,2026-08-15,待审错误清单_20260815.md 第二/三/八类（用户审核确认）,,,
3603788,我该怎么办,2004,East_Asia,朝鲜语,整行删除,'朝鲜语'国别歧义（朝鲜半岛影片），全量口径假阳性，整行删除,2026-08-15,待审错误清单_20260815.md 第二/三/八类（用户审核确认）,,,
1779098,无敌青春,2004,East_Asia,日语 / 朝鲜语,整行删除,'朝鲜语'国别歧义（朝鲜半岛影片），全量口径假阳性，整行删除,2026-08-15,待审错误清单_20260815.md 第二/三/八类（用户审核确认）,,,
1388176,血与骨,2004,East_Asia,朝鲜语 / 日语,整行删除,'朝鲜语'国别歧义（朝鲜半岛影片），全量口径假阳性，整行删除,2026-08-15,待审错误清单_20260815.md 第二/三/八类（用户审核确认）,,,
3281360,光脚的基丰,2006,East_Asia,朝鲜语,整行删除,'朝鲜语'国别歧义（朝鲜半岛影片），全量口径假阳性，整行删除,2026-08-15,待审错误清单_20260815.md 第二/三/八类（用户审核确认）,,,
2355597,夏娃的诱惑：她的技巧,2007,East_Asia,朝鲜语,整行删除,'朝鲜语'国别歧义（朝鲜半岛影片），全量口径假阳性，整行删除,2026-08-15,待审错误清单_20260815.md 第二/三/八类（用户审核确认）,,,
2333746,头师父一体3,2007,East_Asia,朝鲜语,整行删除,'朝鲜语'国别歧义（朝鲜半岛影片），全量口径假阳性，整行删除,2026-08-15,待审错误清单_20260815.md 第二/三/八类（用户审核确认）,,,
1999556,界,2007,Europe,蒙古语 / 朝鲜语,整行删除,'朝鲜语'国别歧义（朝鲜半岛影片），全量口径假阳性，整行删除,2026-08-15,待审错误清单_20260815.md 第二/三/八类（用户审核确认）,,,
3035549,雨季将至,2007,Other,印度方言 / 英语,整行删除,境外方言标签被'方言'兜底误命中，全量口径假阳性，整行删除,2026-08-15,待审错误清单_20260815.md 第二/三/八类（用户审核确认）,,,
3324091,爱情与战争,2008,East_Asia,朝鲜语,整行删除,'朝鲜语'国别歧义（朝鲜半岛影片），全量口径假阳性，整行删除,2026-08-15,待审错误清单_20260815.md 第二/三/八类（用户审核确认）,,,
4745879,世界上对女人最危险的地方,2010,Europe,英语 / 法语 / 剛果方言,整行删除,境外方言标签被'方言'兜底误命中，全量口径假阳性，整行删除,2026-08-15,待审错误清单_20260815.md 第二/三/八类（用户审核确认）,,,
