组别,movie_id,片名,年份,豆瓣评分,评价人数,类型,Decade,语言字段原文,归一化语言,命中方言标签,方言大区,Tier层级,方言占比（推断）,占比推断依据,来源URL
方言片,1465552,细路祥,1950,7.1,212,剧情,Pre-1990s,粤语,粤语,粤语,粤语（广府片/白话）,Tier 1,≈100%（推断）,纯方言/少数民族语言标签，无普通话标签（对应'全部对白为方言'的狭义纯方言片）,https://movie.douban.com/subject/1465552/
方言片,1401527,危楼春晓,1953,7.6,361,剧情,Pre-1990s,粤语,粤语,粤语,粤语（广府片/白话）,Tier 1,≈100%（推断）,纯方言/少数民族语言标签，无普通话标签（对应'全部对白为方言'的狭义纯方言片）,https://movie.douban.com/subject/1401527/
方言片,1301330,寒夜,1955,7.4,102,剧情 / 家庭,Pre-1990s,粤语,粤语,粤语,粤语（广府片/白话）,Tier 1,≈100%（推断）,纯方言/少数民族语言标签，无普通话标签（对应'全部对白为方言'的狭义纯方言片）,https://movie.douban.com/subject/1301330/
方言片,5409873,杜十娘怒沉百宝箱,1956,7.9,137,剧情,Pre-1990s,粤语,粤语,粤语,粤语（广府片/白话）,Tier 1,≈100%（推断）,纯方言/少数民族语言标签，无普通话标签（对应'全部对白为方言'的狭义纯方言片）,https://movie.douban.com/subject/5409873/
方言片,1962340,雷雨,1957,7.6,144,剧情,Pre-1990s,粤语,粤语,粤语,粤语（广府片/白话）,Tier 1,≈100%（推断）,纯方言/少数民族语言标签，无普通话标签（对应'全部对白为方言'的狭义纯方言片）,https://movie.douban.com/subject/1962340/
方言片,2357392,王哥柳哥游台湾（上）,1959,6.5,126,喜剧,Pre-1990s,Taiwanese,taiwanese,taiwanese,台语（闽南语台湾变体）,Tier 1,≈100%（推断）,纯方言/少数民族语言标签，无普通话标签（对应'全部对白为方言'的狭义纯方言片）,https://movie.douban.com/subject/2357392/
方言片,1401219,紫钗记,1959,9.1,351,剧情 / 爱情 / 古装,Pre-1990s,粤语,粤语,粤语,粤语（广府片/白话）,Tier 1,≈100%（推断）,纯方言/少数民族语言标签，无普通话标签（对应'全部对白为方言'的狭义纯方言片）,https://movie.douban.com/subject/1401219/
方言片,1465556,可怜天下父母心,1960,7.3,148,剧情,Pre-1990s,粤语,粤语,粤语,粤语（广府片/白话）,Tier 1,≈100%（推断）,纯方言/少数民族语言标签，无普通话标签（对应'全部对白为方言'的狭义纯方言片）,https://movie.douban.com/subject/1465556/
方言片,1401528,难兄难弟,1960,7.6,155,喜剧,Pre-1990s,粤语,粤语,粤语,粤语（广府片/白话）,Tier 1,≈100%（推断）,纯方言/少数民族语言标签，无普通话标签（对应'全部对白为方言'的狭义纯方言片）,https://movie.douban.com/subject/1401528/
方言片,3438595,湖山盟,1962,6.0,103,剧情 / 爱情 / 奇幻,Pre-1990s,粤语,粤语,粤语,粤语（广府片/白话）,Tier 1,≈100%（推断）,纯方言/少数民族语言标签，无普通话标签（对应'全部对白为方言'的狭义纯方言片）,https://movie.douban.com/subject/3438595/
