movie_id,片名,年份,导演,制片国家/地区,语言,豆瓣评分,评价人数,score,hits,verdict,benchmark,来源URL
11599155,阿嬷的梦中情人,2013,萧力修 / 北村丰晴,中国台湾,汉语普通话 / 闽南语,7.2,6527,5,E2+E3+E4,auto_recover,0,https://movie.douban.com/subject/11599155/
2305317,卷席筒,1979,刘斌,中国大陆,汉语/方言/曲剧/河南话,8.5,355,3,E1,auto_recover,0,https://movie.douban.com/subject/2305317/
1299103,冬冬的假期,1984,侯孝贤,中国台湾,汉语普通话 / 客家话 / 上海话,8.6,19847,3,E1,auto_recover,0,https://movie.douban.com/subject/1299103/
1300572,童年往事,1985,侯孝贤,中国台湾,汉语普通话 / 闽南语 / 客家话,8.8,45846,3,E1,auto_recover,0,https://movie.douban.com/subject/1300572/
1292330,恋恋风尘,1986,侯孝贤,中国台湾,汉语普通话 / 粤语 / 闽南语,8.6,72348,3,E1,auto_recover,0,https://movie.douban.com/subject/1292330/
900189,牯岭街少年杀人事件,1991,杨德昌 Edward Yang,台湾,汉语普通话 / 闽南语 / 上海话 / 粤语,8.8,234542,3,E1,auto_recover,0,https://movie.douban.com/subject/1292329/
1297036,红玫瑰白玫瑰,1994,关锦鹏,中国香港 / 中国台湾,汉语普通话 / 粤语 / 上海话,7.7,27916,3,E1,auto_recover,0,https://movie.douban.com/subject/1297036/
900054,饮食男女,1994,李安 Ang Lee,台湾 / 美国,汉语普通话 / 闽南语 / 湖南话,9.1,521251,3,E1,auto_recover,0,https://movie.douban.com/subject/1291818/
1294735,好男好女,1995,侯孝贤,中国台湾 / 日本,汉语普通话 / 粤语 / 日语 / 闽南语,7.5,6289,3,E1,auto_recover,0,https://movie.douban.com/subject/1294735/
1308035,顺流逆流,2000,徐克,中国香港 / 中国大陆,汉语普通话 / 福建话 / 粤语 / 英语 / 葡萄牙语,7.5,14661,3,E1,auto_recover,0,https://movie.douban.com/subject/1308035/
1421619,我们害怕,2002,程裕苏,中国大陆,汉语普通话 / 上海方言 / 粤语,6.3,1129,3,E1,auto_recover,0,https://movie.douban.com/subject/1421619/
1483000,我的美丽乡愁,2002,俞钟,中国大陆,汉语普通话 / 粤语 / 蒙古语 / 湖南话,5.8,1866,3,E1,auto_recover,0,https://movie.douban.com/subject/1483000/
1477536,婼玛的十七岁,2003,章家瑞,中国大陆,汉语普通话 / 哈尼语 / 英语 / 云南方言 / 日语,7.0,594,3,E1,auto_recover,0,https://movie.douban.com/subject/1477536/
2300091,孤恋花,2005,曹瑞原,中国台湾,汉语普通话 / 闽南话 / 上海话,7.5,2989,3,E1,auto_recover,0,https://movie.douban.com/subject/2300091/
1766086,太阳照常升起,2007,姜文,中国大陆,汉语普通话 / 温州话 / 俄语 / 维吾尔语,8.3,236085,3,E1,auto_recover,0,https://movie.douban.com/subject/1766086/
1794435,姨妈的后现代生活,2007,许鞍华,中国大陆 / 中国香港,汉语普通话 / 上海话 / 武汉话 / 东北话,7.4,55413,3,E1,gray_zone,1,https://movie.douban.com/subject/1794435/
