movie_id,片名,年份,语言,evidence,confidence,human_review_required,reason
900072,让子弹飞,2010,汉语普通话 / 四川话 / 山西话,BENCHMARK,0.95,1,川渝方言贯穿全程的标杆片
27110296,无名之辈,2018,汉语普通话 / 贵州方言,LLM_JUDGE,0.95,0,全程贵州方言黑色喜剧
900225,疯狂的石头,2006,汉语普通话 / 重庆话,BENCHMARK,0.95,1,重庆话多线叙事标杆片
3649049,金陵十三钗,2011,汉语普通话 / 英语 / 日语 / 南京话 / 上海话,LLM_JUDGE,0.9,0,南京话上海话对白成规模
4237879,人在囧途,2010,汉语普通话 / 武汉话,LLM_JUDGE,0.85,0,湖南武汉方言公路喜剧
900030,鬼子来了,2000,汉语普通话 / 日语 / 唐山话,LLM_JUDGE,0.95,0,全程唐山话的姜文经典
3821067,一代宗师,2013,汉语普通话 / 粤语 / 日语,LLM_JUDGE,0.8,0,粤语武林对白成规模
30171424,拆弹专家2,2020,汉语普通话 / 粤语 / 英语,LLM_JUDGE,0.85,0,港产粤语原声警匪片
25717233,心花路放,2014,汉语普通话 / 粤语 / 云南方言,BENCHMARK,0.9,1,云南方言段落成规模标杆片
25798222,亲爱的,2014,汉语普通话 / 安徽方言 / 粤语 / 陕西方言,BENCHMARK,0.95,1,多方言寻子题材标杆片
25716096,狗十三,2018,汉语普通话 / 西安话,LLM_JUDGE,0.95,0,全程西安话成长片
3596502,唐山大地震,2010,汉语普通话 / 唐山话,LLM_JUDGE,0.8,0,唐山话家庭戏贯穿
26728669,风中有朵雨做的云,2019,汉语普通话 / 粤语,LLM_JUDGE,0.85,0,广州背景粤语对白贯穿
25662327,火锅英雄,2016,汉语普通话 / 重庆话,LLM_JUDGE,0.95,0,全程重庆话劫案片
2124703,疯狂的赛车,2009,汉语普通话 / 青岛话 / 闽南语 / 陕西话 / 武汉话 / 四川话,BENCHMARK,0.95,1,多方言混响标杆片
1292434,一一,2017,汉语普通话 / 闽南语 / 英语 / 日语,LLM_JUDGE,0.85,0,台北家庭闽南语穿插
3626416,十月围城,2009,汉语普通话 / 粤语 / 英语,LLM_JUDGE,0.85,0,1905香港市井粤语贯穿
27191431,过春天,2019,汉语普通话 / 粤语,LLM_JUDGE,0.9,0,深港双城粤语青春片
30292777,阳光普照,2019,汉语普通话 / 闽南语,LLM_JUDGE,0.9,0,家庭闽南语对白贯穿
26972258,江湖儿女,2018,汉语普通话 / 山西方言 / 湖北方言 / 重庆方言,BENCHMARK,0.95,1,山西方言贯穿标杆片
900180,可可西里,2004,汉语普通话 / 藏语,LLM_JUDGE,0.9,0,藏语巡山队对白成规模
10763164,扫毒,2013,汉语普通话 / 粤语 / 泰语 / 英语,LLM_JUDGE,0.8,0,港产警匪粤语原声
6080775,黄金大劫案,2012,汉语普通话 / 东北话,LLM_JUDGE,0.9,0,全程东北话伪满喜剧
4176542,杀生,2012,汉语普通话 / 四川话,LLM_JUDGE,0.95,0,川西寨子四川话贯穿
10537853,万箭穿心,2012,汉语普通话 / 武汉方言,LLM_JUDGE,0.95,0,武汉方言版市井家庭片
11600078,目击者之追凶,2017,汉语普通话 / 闽南语,LLM_JUDGE,0.85,0,台片闽南语对白贯穿
11598977,叶问3,2016,汉语普通话 / 粤语 / 英语,LLM_JUDGE,0.75,0,叶问系列粤语对白成规模
1309004,孔雀,2005,汉语普通话 / 晋语,LLM_JUDGE,0.85,0,安阳晋语背景对白
4718369,白鹿原,2012,汉语普通话 / 陕西话,LLM_JUDGE,0.9,0,关中陕西话史诗片
3690289,春风沉醉的夜晚,2009,汉语普通话 / 粤语,LLM_JUDGE,0.75,0,南京背景方言粤语穿插
1305046,双瞳,2002,汉语普通话 / 台语 / 英语,LLM_JUDGE,0.85,0,台片台语灵异惊悚
11501396,边境风云,2012,汉语普通话 / 四川话 / 缅甸语,LLM_JUDGE,0.9,0,云南边陲四川话贯穿
1421809,最好的时光,2005,汉语普通话 / 闽南语,LLM_JUDGE,0.85,0,侯孝贤闽南语段落贯穿
5244092,翻滚吧！阿信,2011,汉语普通话 / 闽南语 Hokkien,LLM_JUDGE,0.9,0,宜兰闽南语励志片
5318669,转山,2011,汉语普通话 / 藏语,LLM_JUDGE,0.8,0,藏区骑行藏语对白
